Plan Name,Providers,ID,Full Monthly Price,Intro Discount,Intro Period (months),Download Speed (Mbps),Upload Speed (Mbps),Data Cap (GB),Contract Required? (Y/N),Contract Length (months),Early Termination Fee,Other Monthly Fees (Total Est.),Other Monthly Fees (Notes),Termination Rights,BCL Source,Other Discounts Available (Notes),Other Discounts Available (Total Est.),Installation Fees,Comments,Data Cap? (Y/N),Early Termination Fee? (Y/N),Contract Key Terms,Low-Income Plan? (Y/N),Requires Follow-Up,Follow-Up Method,Low-Income Discount Eligible? (Y/N),Low-Income Discount ($),Internet Offer Finder Collection,Service Type,Technology
Go Super Fast Internet,Cox Communications,17,$124.00 ,$39.00 ,12,1175,113,1280,No,,,$15.00 ,Panoramic Wifi,,ISP Website,,,$100.00 ,,Yes,No,,No,,,No,,"4382 THORNDALE PL,6326 PEAR VALLEY LN,6763 GREENGROVE DR,7089 ADLER FALLS ST,6314 PEAR VALLEY LN,6785 FLORA DR",Residential,"Cable, Fiber to the Premises"
Go Even Faster Internet,Cox Communications,18,$94.00 ,$24.00 ,12,588,57,1280,,,,$15.00 ,Panoramic Wifi,,ISP Website,,,$100.00 ,,Yes,No,,No,,,No,,"4382 THORNDALE PL,6326 PEAR VALLEY LN,6763 GREENGROVE DR,7089 ADLER FALLS ST,6314 PEAR VALLEY LN,6785 FLORA DR",Residential,"Cable, Fiber to the Premises"
Fast Internet,Cox Communications,19,$74.00 ,$19.00 ,12,353,34,1280,No,,,$0.00 ,,,ISP Website,,,$100.00 ,,Yes,No,,No,,,No,,"4382 THORNDALE PL,6326 PEAR VALLEY LN,6763 GREENGROVE DR,7089 ADLER FALLS ST,6314 PEAR VALLEY LN,6785 FLORA DR",Residential,"Cable, Fiber to the Premises"
ConnectAssist Internet Service,Cox Communications,20,$30.00 ,,,117,24,1280,,,,$15.00 ,Panoramic Wifi,,ISP Website,,,$100.00 ,,Yes,No,,Yes,,,No,,"4382 THORNDALE PL,6326 PEAR VALLEY LN,6763 GREENGROVE DR,7089 ADLER FALLS ST,6314 PEAR VALLEY LN,6785 FLORA DR",Residential,"Cable, Fiber to the Premises"
Business Internet 300,Cox Communications,21,$190.00 ,$115.00 ,12,352,56,,Yes,12,,$13.00 ,Standard/Gateway Equipment Rental Fee,,ISP Website,Paperless Billing + Autopay via bank account,$10.00 ,$99.00 ,,No,No,Intro price requires 12 month agreement,No,,,No,,"4627 CAMERON ST,3250 W ALI BABA LN,8480 S EASTERN AVE,6611 SCHUSTER ST,4440 E WASHINGTON AVE",Commercial,"Cable, Fiber to the Premises"
Business Internet 500,Cox Communications,22,$290.00 ,$185.00 ,12,586,111,,Yes,12,,$13.00 ,Standard/Gateway Equipment Rental Fee,,ISP Website,Paperless billing + Autopay via bank account,$10.00 ,$99.00 ,,No,No,Intro price requires 12 month term agreement.,No,,,No,,"4627 CAMERON ST,3250 W ALI BABA LN,8480 S EASTERN AVE,6611 SCHUSTER ST,1450 CENTER CROSSING RD,4440 E WASHINGTON AVE",Commercial,"Cable, Fiber to the Premises"
Business Internet 1Gbps,Cox Communications,23,$410.00 ,$260.00 ,24,1177,102,,Yes,24,,$13.00 ,Standard/Gateway Equipment Rental Fee,,ISP Website,Paperless billing + autopay via bank account,$10.00 ,$99.00 ,,No,No,Intro price requires 24 month term agreement.,No,,,No,,"4627 CAMERON ST,3250 W ALI BABA LN,8480 S EASTERN AVE,6611 SCHUSTER ST,4440 E WASHINGTON AVE",Commercial,"Cable, Fiber to the Premises"
Business Internet 2Gbps,Cox Communications,24,$568.00 ,$368.00 ,24,586,111,,Yes,24,,$13.00 ,Standard/Gateway Equipment Rental Fee,,ISP Website,Paperless billing + autopay via bank account,$10.00 ,$99.00 ,,No,No,Intro price requires 24 month term agreement.,No,,,No,,"4627 CAMERON ST,3250 W ALI BABA LN,8480 S EASTERN AVE,6611 SCHUSTER ST,4440 E WASHINGTON AVE",Commercial,"Cable, Fiber to the Premises"
Simply Unlimited Internet,CenturyLink,28,,,,100,,,,,,,,,,,,,"Internet is not provided at any of the locations, only phone service

Link to BCL is also broken: https://broadbandlabel.centurylink.com/catalog",,,,,,,,,,Commercial,Copper
HotWire Plan,Hotwire Communications,29,,,,,,,,,,,,,,,,,,,,,,checked,https://hotwirecommunications.com/contact-us,,,,Commercial,Fiber to the Premises
HughesNet - Lite,HughesNet,30,$54.99 ,$10.00 ,12,25,3,100,Yes,12,$400.00 ,,,,ISP Website,ACH Payment discount,$5.00 ,$200.00 ,,Yes,Yes,12 Month Commitment,No,,,No,,"6833 ARROYO AVE,4382 THORNDALE PL,4206 LARKWOOD AVE",Residential,Geostationary Satellite
HughesNet - Select,HughesNet,31,$79.99 ,$25.00 ,12,50,5,100,Yes,24,$400.00 ,,,,ISP Website,ACH Payment discount,$5.00 ,$200.00 ,,Yes,Yes,24 Month Commitment,No,,,No,,"6833 ARROYO AVE,4382 THORNDALE PL,4206 LARKWOOD AVE",Residential,Geostationary Satellite
HughesNet - Elite,HughesNet,32,$94.99 ,$25.00 ,12,100,5,200,Yes,24,$400.00 ,,,,ISP Website,ACH Payment discount,$5.00 ,$200.00 ,,Yes,Yes,24 Month Commitment,No,,,No,,"6833 ARROYO AVE,4382 THORNDALE PL,4206 LARKWOOD AVE",Residential,Geostationary Satellite
HughesNet - Fusion,HughesNet,33,$124.99 ,$25.00 ,12,200,5,200,Yes,24,$400.00 ,,,,ISP Website,ACH Payment discount,$5.00 ,$200.00 ,,Yes,Yes,24 Month Commitment,No,,,No,,"6833 ARROYO AVE,4382 THORNDALE PL,4206 LARKWOOD AVE",Residential,Geostationary Satellite
Residential/Small Business 100MB,Fort Mojave Telecommunications Inc,34,$75.00 ,$0.00 ,,100,100,,,,,,,,ISP Website,,$0.00 ,,,,,,No,,,No,,"1211 GOLF CLUB DR,1280 COUNTRY CLUB DR,1233 COUNTRY CLUB DR",Residential,Fiber to the Premises
Geolinks 100M/100M,GeoLinks,35,$323.00 ,,,100,100,,Yes,12,,,,,Phone Call,"Discounts for 24-month, 36-month, & 60-month commitments",,$500.00 ,,,Yes,,,,,,,"5041 W DIABLO DR,121 INDUSTRIAL PARK RD,4627 CAMERON ST",Commercial,Licensed Fixed Wireless
IW-WIRELESS: Residential Gold 35 Mbps,InfoWest,36,$50.00 ,$0.00 ,0,35,5,,No,,,$15.00 ,Calix Managed Router Service = $10; Dish Equipment Usage Fee = $5,,ISP Website,,,$0.00 ,,No,No,,No,,,No,,"711 MESA SPRINGS DR,621 SUMMIT CT",Residential,Licensed Fixed Wireless
IW-WIRELESS: Residential Platinum 100 Mbps,InfoWest,37,$7.00 ,$0.00 ,0,100,20,,No,,,$15.00 ,Calix Managed Router Service = $10; Dish Equipment Usage Fee = $5,,ISP Website,,$0.00 ,$0.00 ,,No,No,,No,,,No,$0.00 ,"711 MESA SPRINGS DR,621 SUMMIT CT",Residential,Licensed Fixed Wireless
IW-WIRELESS: Residential Silver 25 Mbps,InfoWest,38,$40.00 ,$0.00 ,0,25,3,,No,,,$15.00 ,Calix Managed Router Service = $10; Dish Equipment Usage Fee = $5,,ISP Website,,$0.00 ,$0.00 ,,No,No,,No,,,No,$0.00 ,"711 MESA SPRINGS DR,621 SUMMIT CT",Residential,Licensed Fixed Wireless
HomeNet 50,isp.net,41,$50.00 ,$0.00 ,0,50,10,,Yes,12,,,,Early Termination Fee = Remaining Contract Value,ISP Website,,$0.00 ,$25.00 ,,No,Yes,,No,,,No,$0.00 ,"4735 ROCKVALE DR,4353 THORNDALE PL,6763 GREENGROVE DR",Residential,Licensed Fixed Wireless
HomeNet 100,isp.net,42,$75.00 ,$0.00 ,0,100,20,,Yes,12,,$0.00 ,,Early Termination Fee = Remaining Contract Value,ISP Website,,$0.00 ,$25.00 ,,No,Yes,,No,,,No,$0.00 ,"4735 ROCKVALE DR,4353 THORNDALE PL,6763 GREENGROVE DR",Residential,Licensed Fixed Wireless
HomeNet 200,isp.net,43,$125.00 ,$0.00 ,0,200,50,,Yes,12,,$0.00 ,,Early Termination Fee = Remaining Contract Value,ISP Website,,$0.00 ,$25.00 ,,No,Yes,,No,,,No,,"4735 ROCKVALE DR,4353 THORNDALE PL,6763 GREENGROVE DR",Residential,Licensed Fixed Wireless
HomeNet 500,isp.net,44,$150.00 ,$0.00 ,0,500,200,,Yes,12,,$0.00 ,,Early Termination Fee = Remaining Contract Value,ISP Website,,$0.00 ,$25.00 ,,No,Yes,,No,,,No,$0.00 ,"4735 ROCKVALE DR,4353 THORNDALE PL,6763 GREENGROVE DR",Residential,Licensed Fixed Wireless
Moapa - 250 MBPS,Moapa Valley Telephone Co.,45,$79.95 ,,6,250,100,,Yes,6,$100.00 ,,,,ISP Website,,,$33.76 ,,No,Yes,"Early termination fees, Moves to month to month at the completion of the contract
",,,,,,"1110 AIRPORT RD,1345 PEARL AVE,1125 LOU JEAN AVE,1480 PEARL AVE",Residential,Fiber to the Premises
Moapa - 500 MBPS,Moapa Valley Telephone Co.,47,$94.95 ,,6,500,300,,Yes,6,$100.00 ,,,,ISP Website,,,$33.76 ,,No,Yes,"Early termination fees, Moves to month to month at the completion of the contract
",,,,,,"1110 AIRPORT RD,1345 PEARL AVE,1125 LOU JEAN AVE,1480 PEARL AVE",Residential,Fiber to the Premises
Moapa - 1 GIG,Moapa Valley Telephone Co.,48,$127.95 ,,6,1000,500,,Yes,6,$100.00 ,,,,ISP Website,,,$33.76 ,,No,Yes,"Early termination fees, Moves to month to month at the completion of the contract
",,,,,,"1110 AIRPORT RD,1345 PEARL AVE,1125 LOU JEAN AVE,1480 PEARL AVE",Residential,Fiber to the Premises
Moapa - 15 MBPS,Moapa Valley Telephone Co.,49,$75.95 ,,6,15,2,,Yes,6,$100.00 ,$7.99 ,Provider Fees,,ISP Website,,,$33.76 ,,No,Yes,"Early termination fees, Moves to month to month at the completion of the contract
",No,,,,,"5409 N MOAPA VALLEY BLVD,5399 N MOAPA VALLEY BLVD",Residential,Cable
Moapa - 30 MBPS,Moapa Valley Telephone Co.,53,$60.95 ,,6,30,5,,Yes,6,$100.00 ,$7.99 ,Provider Fees,,ISP Website,,,$33.76 ,,No,Yes,"Early termination fees, Moves to month to month at the completion of the contract
",No,,,,,"5409 N MOAPA VALLEY BLVD,5399 N MOAPA VALLEY BLVD",Residential,Cable
Moapa - 50 MBPS,Moapa Valley Telephone Co.,54,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential,Cable
Moapa - 100 MBPS,Moapa Valley Telephone Co.,55,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential,Licensed Fixed Wireless
Gig-Speed Kwikbit Internet!,Kwikbit,57,$60.00 ,$0.00 ,,1000,1000,,,,,$0.00 ,,,,0,$0.00 ,$0.00 ,Need to get BCL,,,,No,checked,,No,$0.00 ,4525 W TWAIN AVE,Residential,Licensed Fixed Wireless
Gig-Speed Kwikbit Internet! ($50),Kwikbit,58,$50.00 ,$0.00 ,,1000,1000,,,,,$0.00 ,,,,0,$0.00 ,$0.00 ,Need to get BCL,,,,No,checked,,No,$0.00 ,"4525 W TWAIN AVE,3325 N NELLIS BLVD",Residential,Licensed Fixed Wireless
NeFortris Plan,NetFortris,59,,,,,,,,,,,,,,,,,"Requires outreach, acquired by Sangoma",,,,,checked,https://sangoma.com/products/managed-network-and-connectivity/,,,,Residential,Fiber to the Premises
Peerless Network Plan - TBD,Peerless Network,61,,,,,,,,,,,,,,,,,,,,,,checked,Submitted their interest form for service but never received a response,,,2920 N GREEN VALLEY PKWY BLDG 4,Commercial,Licensed Fixed Wireless
100 Home Internet,Rio Virgin Telephone,62,$57.99 ,$0.00 ,0,100,100,,No,,,$0.00 ,,,ISP Website,,,$26.00 ,,No,No,,No,,,Yes,,"621 SUMMIT CT,738 MESA SPRINGS DR,651 VALLEY VIEW DR,403 MESA BLVD,487 PARKVIEW DR,621 SUMMIT CT",Residential,Copper
